,C1_down,C1_up,C2_down,C2_up,normal,R1_down,R1_up,R2_down,R2_up,R3_down,R3_up,R4_down,R4_up
C1_down,58.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_up,0.0,57.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_down,2.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0
C2_up,0.0,4.0,0.0,33.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0
normal,0.0,2.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
R1_down,0.0,0.0,0.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1_up,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0
R2_down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
R2_up,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
R3_down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
R3_up,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
R4_down,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
R4_up,0.0,3.0,0.0,11.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,37.0
