,C1_up,C2_down,C2_up,C3_down,C3_up,normal,R10_down,R10_up,R11_down,R11_up,R12_down,R12_up,R13_down,R13_up,R14_down,R14_up,R15_down,R15_up,R1_up,R2_down,R2_up,R3_up,R4_down,R4_up,R5_down,R5_up,R6_down,R6_up,R7_down,R7_up,R8_down,R8_up,R9_down,R9_up
C1_up,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_down,0.0,40.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0
C2_up,0.0,0.0,23.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0
C3_down,0.0,5.0,0.0,43.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
C3_up,0.0,1.0,2.0,0.0,20.0,7.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0
normal,0.0,4.0,1.0,0.0,2.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0
R10_down,1.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
R10_up,0.0,0.0,1.0,1.0,0.0,2.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
R11_down,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R11_up,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,30.0,0.0,18.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12_down,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12_up,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,25.0,0.0,25.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R13_down,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0
R13_up,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R14_down,0.0,3.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,14.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0
R14_up,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0
R15_down,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
R15_up,0.0,3.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,15.0,6.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
R1_up,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2_down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2_up,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,45.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
